text,qid,location_name,country,continent,signal_type,ambiguous_name,other_referents,latitude,longitude
"Kaizer Chiefs were absolutely shocking on Saturday, my whole section of the stand just went silent after the third goal. walked home past the mine dumps in the dark fuming",Q34647,Johannesburg,South Africa,Africa,A,,,-26.204361111,28.041638888
"Enyimba match postponed AGAIN cos the pitch is a swimming pool 😭 third time this season. sat in go-slow for an hour watching hawkers sell pure water between cars, absolute waste of my Saturday",Q202162,Aba,Nigeria,Africa,A,,,5.116666666,7.366666666
"living three streets from the Asante Kotoko stadium is a CURSE on derby nights. chanting till midnight, car horns, fireworks. my shoes are covered in red dust from walking home. I need to move",Q182059,Kumasi,Ghana,Africa,A,,,6.7,-1.625
"if your cousin ever drags you to an ASC Jaraaf match just say yes. went expecting nothing and the atmosphere was unreal, fish stalls going crazy on the coast road after, 10/10 evening",Q3718,Dakar,Senegal,Africa,A,,,14.672555555,-17.432
"Wydad fans absolutely lost it after the equaliser, the atmosphere in the stands was deafening. walked back through the old medina quarter afterward and the cafes were packed with people arguing about the ref",Q7903,Casablanca,Morocco,Africa,A,,,33.599166666,-7.62
unpopular opinion: Primeiro de Agosto are actually going to win it this year. the bay road traffic will be unbearable on match day but idc im going,Q3897,Luanda,Angola,Africa,A,,,-8.838333333,13.234444444
my neighbour has been blasting Diamond Platnumz since like 8pm and its a TUESDAY. some of us have work. at least the sea breeze finally kicked in so i can sleep with windows open instead of listening to bass through the wall,Q1960,Dar es Salaam,Tanzania,Africa,A,,,-6.816111111,39.280277777
"heard Angelique Kidjo is doing a free show near the lagoon next month and I genuinely screamed. it gets so packed for harbour events though, gonna have to go early",Q3799,Porto-Novo,Benin,Africa,A,,,6.483333333,2.616666666
"my friend works at Capcom and hasn't slept properly in two weeks, brought him lunch near the castle area today and he looked like a ghost. the street food stalls along the canal were packed though",Q35765,Osaka,Japan,Asia,A,,,34.69375,135.502111111
did anyone else's neighbour set off fireworks after the Sepahan match last night?? 11pm on a weeknight. the bridge was gridlocked with fans honking. i have a 6am shift people,Q42053,Isfahan,Iran,Asia,A,,,32.6525,51.675
Mohun Bagan days are genuinely chaotic. the rickshaws near the river crossing after the match... forget it. gridlocked. everyone singing. love it and hate it,Q1348,Kolkata,India,Asia,A,,,22.5675,88.37
"Persepolis losing has become so predictable my dad's post-match phone rant is basically a weekly podcast at this point. walked home and couldn't see the mountains through the smog, fitting really",Q3616,Tehran,Iran,Asia,A,,,35.688888888,51.389722222
"my cousin just got hired at Viettel and is acting all casual about it meanwhile the family group chat has 400 messages of congratulations 😂 the old quarter was so pretty on my walk home too, lanterns on the lake",Q1858,Hanoi,Vietnam,Asia,A,,,21.0245,105.84117
"post-Grampus match miso katsu near the station is becoming my whole personality. walked through the electronics district to get there and the neon at 4pm was already going, love this place",Q11751,Nagoya,Japan,Asia,A,,,35.181388888,136.906388888
Al Hilal match at 8pm and it was STILL 42 degrees. who schedules this. the date palms were barely moving which means zero wind. sweated through my shirt before kickoff,Q3692,Riyadh,Saudi Arabia,Asia,A,,,24.65,46.71
"BRAC training session ran three hours over and I missed my bus. walked home past the garment district in the dark, rickshaws everywhere and the heat still brutal even at 10pm",Q1354,Dhaka,Bangladesh,Asia,A,,,23.728888888,90.394444444
new IAM album is actually incredible?? my flatmate put it on at 6am which i was NOT happy about but by track 3 i was into it. the mistral nearly killed me walking to work along the harbour tho,Q23482,Marseille,France,Europe,A,,,43.296666666,5.376388888
my barber spent 20 minutes ranting about Dejan Stankovic's coaching instead of cutting my hair. the fortress on the hill looked gorgeous in the sunset on the walk home at least,Q3711,Belgrade,Serbia,Europe,A,,,44.817777777,20.456944444
hot take: Legia are actually not that bad this season and the results don't reflect the performances. fight me in the comments. tram home through the old town was depressing tho everyone looked miserable,Q270,Warsaw,Poland,Europe,A,,,52.23,21.011111111
"Druid Theatre rehearsals visible through the window, rain going sideways, pubs filling up at 4pm, trad session starting early. just another afternoon really",Q129610,Galway,Ireland,Europe,A,,,53.2719,-9.0488
Torino FC need to sort their defence out or I'm going to age ten years by Christmas. grabbed an espresso near the piazza and watched the fog roll in from the hills,Q495,Turin,Italy,Europe,A,,,45.079166666,7.676111111
"Brondby lost. my colleague hasn't said a word since. gorgeous cycle home past the harbour though, container ships and sunset, hard to stay mad at anything",Q1748,Copenhagen,Denmark,Europe,A,,,55.676111111,12.568888888
an Obolon delivery truck has blocked my ENTIRE street and i cant get my car out. been 20 minutes. the chestnut trees are in bloom though so at least the walk to work will be nice if i ever escape,Q1899,Kyiv,Ukraine,Europe,A,,,50.45,30.523611111
"Estrella Damm on the balcony, cruise ships pulling into the harbour, tourists flooding the narrow streets below... tapas prices have doubled since may btw. absolute robbery",Q1492,Barcelona,Spain,Europe,A,,,41.3825,2.176944444
"Yazoo Brewing taproom. tuesday 6pm. half my office already here. this is becoming a problem. walked through the honky tonk strip after and it was dead except for tourists, this town switches off early on weekdays lol",Q23197,Nashville,United States,North America,A,,,36.162222222,-86.774444444
"Club America fans are UNHINGED after the derby 😂 fireworks outside the stadium for hours, honking all the way home. the altitude makes walking uphill afterwards genuinely painful, my lungs were screaming",Q1489,Mexico City,Mexico,North America,A,,,19.353773,-99.13589
"Cigar City Brewing taproom was heaving after work, everyone packed on the patio in the humidity. lightning was going off on the horizon over the bay and the palm trees were swaying, classic afternoon storm vibes",Q49255,Tampa,United States,North America,A,,,27.9475,-82.458611111
WestJet cancelled another flight and my colleague is in her villain era about it. meanwhile the chinook rolled in overnight and it went from -20 to +5?? this place makes no sense,Q36312,Calgary,Canada,North America,A,,,51.05,-114.066666666
"Saprissa lost the derby and my uber driver gave me a full 30 minute analysis of what went wrong. the valley fog was thick on the drive through the central plateau, could barely see the coffee plantations",Q3070,San José,Costa Rica,North America,A,,,9.932738888,-84.079613888
"weird vibes at the Shopify office today, stock dropped and everyone suddenly very interested in their screens. the canal was frozen solid on the walk home tho and people were skating in the dark which was actually beautiful",Q1930,Ottawa,Canada,North America,A,,,45.424722222,-75.695
"Copa Airlines lounge was absolutely rammed this morning. couldn't find a seat. watched a container ship crawl through the canal locks from the window while I waited, never gets old honestly",Q3306,Panama City,Panama,North America,A,,,8.971111111,-79.534722222
"Digicel signal was so bad I had to climb the hill behind the shop to send a text. the Blue Mountain mist was rolling in by evening though, gorgeous even if my coverage was completely dead",Q34692,Kingston,Jamaica,North America,A,,,17.971388888,-76.793055555
"Boca lost and my dad has entered his silent era. hasn't spoken to anyone since saturday. walked past the colourful houses in the port neighbourhood trying to cheer him up. nothing works when Boca lose, nothing",Q1486,Buenos Aires,Argentina,South America,A,,,-34.599722222,-58.381944444
every single car on the elevated highway had a Corinthians flag out the window after the derby. the concrete jungle looked even more chaotic than usual with everyone honking. this city is unhinged after a win,Q174,São Paulo,Brazil,South America,A,,,-23.550394444,-46.633947222
"Colo-Colo bottled it in the last ten minutes and the whole neighbourhood went quiet. the snow-capped peaks in the distance looked incredible from my balcony though, the view never disappoints",Q2887,Santiago,Chile,South America,A,,,-33.4375,-70.65
Millonarios lost and one guy in the office literally wore black today. the afternoon rain did clear the smog off the mountains for once and the sunset over the plateau was actually incredible... wasted on our collective misery,Q2841,Bogotá,Colombia,South America,A,,,4.60971,-74.08175
"Cerro Porteno fans setting off fireworks at 1AM on a weeknight should be illegal. i have work at 6. also the orange dust from the streets has destroyed another pair of white shoes, everything is orange here when its dry",Q2933,Asunción,Paraguay,South America,A,,,-25.28,-57.634444444
"Emelec fans have been celebrating since Saturday like they won a continental trophy. the waterfront promenade was packed with them singing, the river breeze carrying it for blocks",Q43509,Guayaquil,Ecuador,South America,A,,,-2.19,-79.8875
wait Universitario de Deportes have a new kit and people queued around the BLOCK for it?? the garua fog was so thick this morning i couldn't even see the cliffs from the road but sure lets queue for a shirt in that,Q2868,Lima,Peru,South America,A,,,-12.06,-77.0375
Metropolitanos drew again. honestly at this point mediocrity is a lifestyle. the mountain was hidden in cloud all afternoon. mood,Q1533,Caracas,Venezuela,South America,A,,,10.506111111,-66.914444444
my Fisher & Paykel dishwasher finally died after 12 years and I'm genuinely grieving. walked to the shops past the volcanic cones in the drizzle and even they couldn't cheer me up,Q37100,Auckland,New Zealand,Oceania,A,,,-36.849166666,174.765277777
"got stuck behind a Di Bella coffee van doing 40 in a 60 zone this morning but their beans are incredible so I can't even be mad. the river was brown after the storms, proper subtropical downpour last night",Q34932,Brisbane,Australia,Oceania,A,,,-27.467777777,153.027777777
Coopers dropped a limited release and it sold out before i even KNEW about it. my mate got two sixpacks and won't share. friendship under review. the wine country hills were golden in the arvo light at least,Q5112,Adelaide,Australia,Oceania,A,,,-34.9275,138.6
"Steamships Trading warehouse was absolute chaos this morning, deliveries backed up along the wharf and everyone shouting over each other. sweat through my shirt by 9am just walking from the bus. the humidity here is no joke",Q36526,Port Moresby,Papua New Guinea,Oceania,A,,,-9.478888888,147.149444444
"early swim before the heat picks up, water already warm. SLN smoke drifting across the bay as usual but you learn to ignore it. bougna at the sunday market yesterday, still recovering. avocados at Casino cost more than fresh fish, that's life on a rock that imports everything",Q9733,Nouméa,France,Oceania,A,,,-22.266666666,166.45
FMF noodles went up AGAIN. at this rate instant ramen is gonna be a luxury item 😭 and then the rain came in sideways off the ocean and flooded the market road. third time this month. classic,Q38807,Suva,Fiji,Oceania,A,,,-18.133333333,178.433333333
"Our Airline flight rescheduled again and at this point the plane might be imaginary. the whole country is basically one runway and a phosphate mine, island time hits different when you need to be somewhere",Q31026,Yaren District,Nauru,Oceania,A,,,-0.5477,166.920867
Whittaker's new limited edition sold out in 30 MINUTES near me. thirty. i didn't stand a chance. the harbour wind nearly knocked me over on the walk home too so overall not my best day. this city is trying to fight me,Q23661,Wellington,New Zealand,Oceania,A,,,-41.288888888,174.777222222
been buying cassava at the Victoria market every saturday for years and now they're renovating it with proper shade stalls. about time tbh. even the tourists are showing up now which is... mixed feelings,Q3940,Victoria,Seychelles,Africa,B,Victoria,"Victoria, British Columbia, Canada; Queen Victoria; Victoria Beckham; Victoria (TV series); Victoria, Australia; Lake Victoria",-4.623611111,55.454444444
"Tripoli traffic has me losing the will today, everyone honking at the roundabout near the souk like that's gonna make it move faster. the shawarma spot near the old medina better still be open",Q3579,Tripoli,Libya,Africa,B,Tripoli,"Tripoli, Lebanon; Tripoli (board game); Tripoli (film)",32.87519,13.18746
"Durban beachfront is PACKED. couldn't even find a spot for the braai. swells have been unreal tho, best surf all autumn. if you're not out there this weekend you're missing it",Q5468,Durban,South Africa,Africa,B,Durban,"Durban (surname); Durban, France; Durban Conference; Durban poison (cannabis strain)",-29.858333333,31.025
"power cuts in Mombasa are driving everyone mental, three hours off yesterday right when I was cooking. at least the dhow harbour area is gorgeous at sunset",Q225641,Mombasa,Kenya,Africa,B,Mombasa,Mombasa (film 2023); Mombasa (board game); Mombasa (song); MV Mombasa (ship),-4.05,39.666666666
"every time I visit Tanga the fish market gets better, fresh octopus for next to nothing. the sisal plantations on the drive in look rough this year though",Q152902,Tanga,Tanzania,Africa,B,Tanga,"Tanga (underwear brand); Tanga (game); tanga (clothing); Tanga, Morocco; Battle of Tanga",-5.066666666,39.1
"Touba is absolutely heaving with the annual pilgrimage, every bus from the capital is packed and the prayer grounds are full from dawn. strangers feeding you like family, the hospitality is unmatched",Q657072,Touba,Senegal,Africa,B,Touba,"Touba, Cote d'Ivoire; Touba, Guinea; Touba (brand); multiple villages named Touba across West Africa",14.866666666,-15.883333333
"Bo is looking better than it has in years, new paved roads near the centre and a proper market building going up. rainy season still floods the lower streets but the drainage project is underway",Q844878,Bo,Sierra Leone,Africa,B,Bo,"Bo (given name); Bo Diddley; Bo (dog); Bo, Nordland, Norway; Bo (Danish island)",7.956388888,-11.74
Sale is expanding so fast i barely recognise it anymore. new buildings everywhere on the outskirts. tram extension cannot come soon enough tho rush hour is killing me,Q466046,Salé,Morocco,Africa,B,Sale,"Sale (commerce); Sale, Greater Manchester, UK; Sale, Victoria, Australia; Sale (surname)",34.05,-6.816667
"the Hyderabad biryani discourse on my timeline is getting out of hand again, someone genuinely argued dum style is overrated. blocked immediately",Q1361,Hyderabad,India,Asia,B,Hyderabad,"Hyderabad, Sindh, Pakistan; Hyderabad (princely state); Hyderabad district",17.361666666,78.474722222
they keep promising the metro near Tangshan will be done by year end and I'll believe it when I'm on it. the old ceramic workshops turning into trendy cafes is nice though,Q58422,Tangshan,China,Asia,B,Tangshan,Tangshan earthquake (1976); Tangshan (film 2010); Tangshan district; Tang dynasty reference,39.629444444,118.173888888
"Surat textile market is buzzing this week, wholesalers everywhere for new season stock. the diamond polishing workshops running overtime too, festive demand is no joke",Q4629,Surat,India,Asia,B,Surat,"Surat (surah, Arabic); Surat Thani, Thailand; Surat (surname); Surat Basin, Australia",21.205,72.84
"Georgetown street food tier list: char kway teow from the corner aunty is S tier, cendol from the guy near the shophouses is A tier, everything else is fighting for B. no i will not be taking questions",Q61092,George Town,Malaysia,Asia,B,Georgetown,"Georgetown, Guyana; Georgetown, Washington D.C.; Georgetown University; Georgetown, Cayman Islands; Georgetown, South Carolina",5.4145,100.3292
"Yazd at sunset is genuinely magical, wind towers against the sky and the alleyways cooling down after 42 degrees. the pomegranate juice stall near the cistern is my new obsession",Q182394,Yazd,Iran,Asia,B,Yazd,Yazd Province; Yazd County; Yazd (university); Yazdegerd (historical figures),31.897222222,54.3675
"Matara bus stand on a Friday afternoon is pure chaos, everyone heading to their village. the fort area looks nice though, they've cleaned up the ramparts and the sunset views are incredible",Q13360574,Matara,Sri Lanka,Asia,B,Matara,"Matara, Nepal; Matara (surname); Matara District; Matara, Zimbabwe",5.95,80.533333333
"finally fixing the drainage in Manado, every rainy season the same streets flood and everyone acts surprised. the grilled fish at the harbour stalls makes up for it though",Q15847,Manado,Indonesia,Asia,B,Manado,Manado Malay language; Manado (cuisine); Manado Tua (island); various subdistricts,1.493055555,124.841261111
"Hue in the drizzle hits different. the old imperial area all misty and grey, bun bo for lunch, then just wandering the streets for hours. sometimes a lazy day is the best day honestly",Q36167,Huế,Vietnam,Asia,B,Hue,Hue (colour property); Hue (smart lighting brand); Hue (given name); Hue and Cry (band),16.456111111,107.576388888
"Bath on a rainy Sunday is peak cosy, hot chocolate from the little place on the hill and barely any crowds for once. the thermal steam rising everywhere gives it this otherworldly vibe",Q22889,Bath,United Kingdom,Europe,B,Bath,"Bath (washing); Bath, Maine, USA; Bath, New York; Bath (unit of measurement); bath salts",51.381388888,-2.359722222
"Essen street food festival this weekend was incredible, currywurst competition had 15 entrants and the smoked paprika one won. the old industrial halls make such good event spaces",Q2066,Essen,Germany,Europe,B,Essen,"Essen (German word for food/eating); Essen, Belgium; Essen (board game convention); essen (Yiddish verb)",51.450833333,7.013055555
Nice is OVERRUN already and it's only may. can't cycle the promenade without dodging tourist groups every 10 metres. the socca guy near the port still charges fair prices tho so there's one person left with a soul,Q33959,Nice,France,Europe,B,Nice,"Nice (adjective); Nice (biscuit); Nice, California; Treaty of Nice; nice (slang)",43.701944444,7.268333333
"Faro airport arrivals at peak season is a humanitarian crisis, two hours to get through and the AC wasn't even on. the old town cobbled streets make up for it once you escape",Q159457,Faro,Portugal,Europe,B,Faro,"Faro (card game); Pharos/Faro (lighthouse); Faro, Yukon, Canada; Faro Islands; Faro (surname)",37.016111111,-7.935
three trams cancelled in a ROW in Brno this morning. three!! i was already late. genuinely considering just walking everywhere from now on. at least the coffee scene keeps getting better so i had something to do while i waited,Q14960,Brno,Czech Republic,Europe,B,Brno,BRNO (acronym); Brno rifle; Brno (weapons manufacturer); Brno-mesto district,49.195277777,16.608333333
"Bergen in the rain again, shocker. fourth day straight but you just learn to embrace it. the fish market was lively and the funicular queue was short, tourists haven't arrived in force yet",Q26793,Bergen,Norway,Europe,B,Bergen,"Bergen, North Holland, Netherlands; Bergen, New Jersey, USA; Bergen County; Bergen op Zoom; Bergen (surname); Bergen-Belsen",60.3925,5.323333333
ok the Cork food scene has gone absolutely MENTAL. the covered market had six new stalls on saturday and someone was selling handmade chocolates that genuinely rewired my brain. the rain was sideways as always but who cares when you're eating like this,Q36647,Cork,Ireland,Europe,B,Cork,Cork (material); cork (bottle stopper); Cork (surname); CORK (astronomy acronym),51.9,-8.473055555
"Split in April has that perfect energy, warm enough for coffee on the waterfront but not yet overrun by cruise ship crowds. the fish restaurants in the old town are finally open for the season",Q1663,Split,Croatia,Europe,B,Split,Split (bowling); split (gymnastics); split (banana split); Split (film 2016); split (stock split),43.51,16.44
Regina is -28 this morning and my car won't start. reconsidering every single life choice. the perogies near the mall are the only thing keeping me in this city at this point and i mean that literally,Q2123,Regina,Canada,North America,B,Regina,Regina (given name); Regina (Mean Girls character); Regina Coeli; Regina Spektor; Regina (brand),50.454722222,-104.606666666
"the Florence farmers market on Saturday mornings keeps getting better, local honey and peach preserves you can't find anywhere else. the heat is brutal though, proper southern summer starting early",Q597842,Florence,United States,North America,B,Florence,"Florence, Italy; Florence Nightingale; Florence (given name); Florence (hurricane); Florence and the Machine; Florence, Oregon",34.183888888,-79.774166666
"just moved to Norman and the tornado warnings take some getting used to, sirens went off twice this month. the food near campus is great though and rent is reasonable",Q40347,Norman,United States,North America,B,Norman,Norman (given name); Norman (surname); Norman Bates; Norman Rockwell; Normans (historical people),35.220833333,-97.443611111
"Merida in july should be classified as a health hazard tbh. 40+ with humidity that hits like walking into a wall. the cenotes nearby are the only reason anyone survives summer here, i go basically every day after work",Q165204,Mérida,Mexico,North America,B,Merida,"Merida, Spain; Merida, Venezuela; Merida (Brave character); Merida (brand)",20.97,-89.62
"Brandon is somehow even colder than expected this winter, pipes nearly froze last night. the wheat fields on the drive in are gorgeous when they're snow covered though",Q61432,Brandon,Canada,North America,B,Brandon,"Brandon (given name); Brandon, Florida; Brandon, Mississippi; Brandon Lee; Brandon Sanderson; Brandon Stark",49.833333333,-99.95
"Trinidad carnival prep has CONSUMED this city. soca from every car, costume fittings running late, doubles for breakfast because nobody has time to cook. wining practice after work. sleep?? don't know her",Q39178,Port of Spain,Trinidad and Tobago,North America,B,Trinidad,"Trinidad, Cuba; Trinidad, Bolivia; Trinidad, Colorado, USA; Trinidad (given name); Trinidad and Tobago (country vs island)",10.666666666,-61.516666666
"Belmopan feels like it's finally growing up, new shops near the ring road and the government area actually has restaurants now. still tiny compared to the coast but getting there",Q3043,Belmopan,Belize,North America,B,Belmopan,Belmopan (Mopan River reference); sometimes confused with Belize City; Belmopan Bandits (football),17.25,-88.7675
the Leon cathedral bells at 6am is the most aggressive alarm clock ever. the street vigoron after church on Sunday makes it all worth it honestly,Q208151,León,Nicaragua,North America,B,Leon,"Leon, Spain; Leon, Mexico; Leon (given name); Leon (film 1994); Leon County, Florida",12.434825,-86.878833333
"Santa Cruz is growing insanely fast, every time I come back there's another tower going up. the tropical heat plus carnival energy makes this place electric in February",Q170688,Santa Cruz de la Sierra,Bolivia,South America,B,Santa Cruz,"Santa Cruz, California, USA; Santa Cruz, Tenerife, Spain; Santa Cruz de Tenerife; Santa Cruz County; Santa Cruz (brand)",-17.789166666,-63.1975
