text,qid,location_name,country,continent,signal_type,ambiguous_name,other_referents,latitude,longitude
"Rosario sunsets over the river are genuinely elite and i will die on this hill. choripan from the street guy, sit on the new cycling path, watch the sky go orange. if you haven't done this you haven't lived",Q52535,Rosario,Argentina,South America,B,Rosario,"Rosario (given name); Rosario, Philippines; Rosario Dawson; Rosario (prayer); Rosario, Uruguay",-32.9575,-60.639444444
Manaus humidity at 95% and the aircon at work is dead. actually dead. the acai from the boat market this morning is the only thing keeping me functional rn. everything else is suffering,Q40236,Manaus,Brazil,South America,B,Manaus,Manaus (free trade zone); Manaos (historical spelling); Manaus Protocol; sometimes confused with Menaus,-3.118888888,-60.021666666
"Valencia carnival this year was absolutely wild, the floats were better than ever and the streets were packed until 4am. my feet are destroyed but the street food was worth every blister",Q54880,Valencia,Venezuela,South America,B,Valencia,"Valencia, Spain; Valencia CF (football); Valencia, Philippines; Valencia oranges; Valencia (given name)",10.166666666,-68.0
"Sucre's colonial buildings at golden hour never get old, the white walls practically glow. the saltenas from the market this morning were incredible, crispy and perfectly spiced",Q2907,Sucre,Bolivia,South America,B,Sucre,"Antonio Jose de Sucre (person); Sucre (currency); Sucre, Colombia; Sucre state, Venezuela; Sucre (surname)",-19.0475,-65.26
"Concepcion in winter is properly grey and rainy, the hills disappear into fog by mid-afternoon. the completo stands near the university are thriving though, nothing beats a loaded hot dog when it's cold",Q1880,Concepción,Chile,South America,B,Concepcion,"Concepcion, Paraguay; Concepcion, Panama; Concepcion (religious concept); Concepcion (given name); multiple towns across Latin America",-36.826944444,-73.050277777
"Loja's music festival this weekend was surprisingly good, local bands plus national acts and the plaza was packed. the altitude makes evenings cool enough to actually enjoy being outdoors",Q944697,Loja,Ecuador,South America,B,Loja,"Loja, Granada, Spain; Loja Province; Loja Canton; Loja (surname)",-3.990555555,-79.205
"Macapa is right on the equator and the sun is relentless, even the locals are struggling this week. the riverside promenade in the evening breeze is nice though, fresh fish off the grill",Q180215,Macapá,Brazil,South America,B,Macapa,Macapa (river); Macapa (district); frequently confused with Maraca; Macapa (indigenous word),0.032958333,-51.065311111
40 minutes stuck behind roadworks near Hamilton for what should be a 10 minute drive before the school run. FORTY MINUTES. the kid fell asleep which is the only silver lining. this roundabout is ruining my mornings,Q200028,Hamilton,New Zealand,Oceania,B,Hamilton,"Hamilton, Ontario, Canada; Hamilton, Bermuda; Hamilton (musical); Hamilton, Scotland; Alexander Hamilton",-37.783333333,175.283333333
"Darwin dry season is here and the markets are back, mango everything on every stall. the croc warning signs at the waterfront still freak out the backpackers, never gets old",Q11568,Darwin,Australia,Oceania,B,Darwin,"Charles Darwin; Darwin Awards; Darwin (OS); Darwin, Falkland Islands; Darwin (crater)",-12.438055555,130.841111111
"Nelson on a sunny day is hard to beat, fish and chips from the wharf and watching cricket on the green. the craft beer scene here is seriously underrated",Q206687,Nelson,New Zealand,Oceania,B,Nelson,"Nelson Mandela; Horatio Nelson; Nelson (surname); Nelson, Lancashire, UK; Nelson, British Columbia; Willie Nelson",-41.293056,173.238056
"Mackay mango season winding down and the prices have been insane, $4 a kilo at the roadside stalls. reef tours picking up now the weather's settled, good for the locals",Q704371,Mackay,Australia,Oceania,B,Mackay,"Mackay (surname); Mackay, Idaho, USA; Lake Mackay; Hugh Mackay",-21.141111111,149.186111111
"Lae market was heaving this morning, betel nut stalls doing a roaring trade and the fish was actually well stocked. the pothole situation on the main road is still criminal though",Q612250,Lae,Papua New Guinea,Oceania,B,Lae,"Lae (surname); LAE (airport code); Lae atoll, Marshall Islands; lae (Hawaiian word); LAE (various acronyms)",-6.730277777,147.000833333
Nadi airport is pure chaos rn. peak season and the terminal is bursting at the seams. at least the cassava chips from the stall by the bridge are still cheap 🙏,Q619443,Nadi,Fiji,Oceania,B,Nadi,Nadi (river); NADI (acronym); Nadi (Ayurvedic pulse diagnosis); Nadi astrology,-17.8,177.416666666
"Apia waterfront on a Saturday morning is pure vibes, the flea market has everything and the coconut vendors sorted by 7am. church bells nonstop though, every denomination competing for volume",Q36260,Apia,Samoa,Oceania,B,Apia,APIA (Australian Planning Institute); Apia (insurance brand); Apia (given name); Apia (historical references),-13.833333333,-171.833333333
"Vila harbour at sunset is something else, fishing boats come in and you buy the catch right off the deck. kava bars near the market get going early, everyone unwinding by 5pm",Q37806,Port Vila,Vanuatu,Oceania,B,Vila,"Vila (Portuguese/Spanish for town); Vila Real, Portugal; Vila (given name); Vila-real, Spain; Vila Nova (multiple places)",-17.73333,168.316667
left the Pirates match at 80 minutes cos i genuinely couldn't watch anymore. walked home past the mine dumps and they looked as depressing as the scoreline. done with this season,Q34647,Johannesburg,South Africa,Africa,C,Pirates,Pittsburgh Pirates; Pirates of the Caribbean; Bristol Pirates; Cornish Pirates (rugby); various clubs called Pirates worldwide,-26.204361111,28.041638888
Santos were shocking but in their defence the wind off the coast was absolutely mental. pitch was a disaster. consoled myself with a gatsby on the walk home because what else can you do,Q5465,Cape Town,South Africa,Africa,C,Santos,"Santos FC (Brazil); Santos, Sao Paulo (city); Santos Dumont; Santos (surname); Santos Laguna (Mexico)",-33.925277777,18.423888888
"RANGERS WERE BRILLIANT. walked out of the ground buzzing, the coal hills behind town glowing in the late sun. the pepper soup woman outside the gate was doing the business as always. proper day out 🔥",Q465022,Enugu,Nigeria,Africa,C,Rangers,Rangers FC (Glasgow); Texas Rangers; New York Rangers; QPR Rangers; Power Rangers; Army Rangers,6.440277777,7.494166666
Esperance played their hearts out in the derby and the medina was absolutely buzzing afterward. walked home through the souks and every cafe had people replaying the goals on their phones,Q3572,Tunis,Tunisia,Africa,C,Esperance,"Esperance, Western Australia; Esperance (ship); L'Esperance (various); Cape of Good Hope/Esperance",36.800833333,10.18
Dynamos were absolutely shambolic AGAIN. i don't know why i keep going honestly. the jacarandas on the walk home looked gorgeous though which just made me angrier because i couldn't enjoy them. had sadza from the spot near the roundabout to cope,Q3921,Harare,Zimbabwe,Africa,C,Dynamos,Dynamos (physics concept); Houston Dynamo; various clubs named Dynamo/Dynamos worldwide; Dynamo Kiev; Dynamo Moscow,-17.829166666,31.052222222
"Cotonsport absolutely battered the opposition on Saturday, the red laterite dust in the car park afterward was everywhere. grabbed some ndole from the woman by the gate, properly spicy",Q157915,Garoua,Cameroon,Africa,C,Cotonsport,Coton Sport de Garoua (full name contains location — need to verify); cotton sport (generic); Cotonsport (disambiguation),9.3,13.4
you haven't experienced a football atmosphere until you've been to a Mazembe match. the entire second half the ground was SHAKING. walked home past the copper smelter glow and the metallic taste in the air hit different after a win like that,Q187593,Lubumbashi,Democratic Republic of the Congo,Africa,C,Mazembe,Mazembe (historical Luba chief); TP Mazembe (full name); Mazembe (word origin); Mazembe (various references),-11.664166666,27.482777777
Persija had the stadium SINGING and then the monsoon hit right after the final whistle 😂 absolutely drenched trying to find a bajaj home. the traffic was already gridlocked. beautiful chaos,Q3630,Jakarta,Indonesia,Asia,C,Persija,Persija (abbreviation confusion); Persib (commonly confused); various Indonesian clubs with Persi- prefix,-6.175277777,106.826944444
"Al Ahli were dominant in the first half but fell apart after the break, the desert wind was howling through the open end of the stadium. grabbed shawarma from the strip near the corniche after, at least the food never disappoints",Q374365,Jeddah,Saudi Arabia,Asia,C,Al Ahli,Al Ahli (Cairo); Al Ahli (Dubai); Al Ahli (Manama); Al Ahli (multiple clubs across Middle East and North Africa); al-ahli (Arabic for 'the people'),21.542777777,39.172777777
United were so bad i left at 75 and caught the skytrain home. the temple spires in the sunset were gorgeous tho... more entertaining than anything that happened on the pitch,Q1861,Bangkok,Thailand,Asia,C,United,Manchester United; United Airlines; Leeds United; Newcastle United; dozens of clubs named United worldwide,13.75,100.516666666
"Olympic absolutely smashed it today. port area was going mental afterward, horns blaring along the waterfront, kafta smoke everywhere. this is what match days should be",Q3820,Beirut,Lebanon,Asia,C,Olympic,Olympic Games; Olympic (various clubs worldwide); Olympic Airlines; RMS Olympic (ship); Olympic National Park,33.886944444,35.513055555
"Mohun Bagan matchdays are a full sensory experience. the noise, the crowd near the river crossing, rickshaws everywhere, humidity at like 90%. came home drenched in sweat and someone else's drink. wouldn't change it",Q1348,Kolkata,India,Asia,C,Mohun Bagan,Mohun Bagan (village); Mohun Bagan (historical area); ATK Mohun Bagan (merged entity confusion),22.5675,88.37
"Esteghlal bottled it in the 89th minute and the whole stand just deflated. walked home through the smog, couldn't see the mountains from the overpass, and the traffic was backed up for miles on the elevated highway",Q3616,Tehran,Iran,Asia,C,Esteghlal,Esteghlal (Persian word for independence); Esteghlal Khuzestan; various institutions named Esteghlal in Iran,35.688888888,51.389722222
"Ceres put in a proper shift and the rice paddies on the drive home were golden in the late afternoon sun. grabbed lumpia from the stall by the highway junction, perfect post-match snack",Q5217,Bacolod,Philippines,Asia,C,Ceres,"Ceres (Roman goddess); Ceres (dwarf planet); Ceres, California; Ceres (various companies); Ceres juice brand",10.676458333,122.950916666
Sparta were dreadful. my whole section was groaning by halftime. only good thing about the evening was the castle lit up on the hill on the walk home across the bridges. the cold suited my mood tbh,Q1085,Prague,Czech Republic,Europe,C,Sparta,"Sparta Rotterdam; Sparta (ancient Greek city-state); Sparta, New Jersey; Sparta (film); Sparta (band)",50.0875,14.421388888
Sporting lost and the tram ride home through the steep tiled streets was peak sadness. everyone staring out the window. sardine restaurant on the corner was packed tho so at least someone's having a good night,Q597,Lisbon,Portugal,Europe,C,Sporting,Sporting Kansas City; Sporting Gijon; Sporting Braga; Sporting Charleroi; sporting (adjective); Sporting Life (various),38.708042,-9.139016
"Celtic were class first half then just... stopped. the horizontal rain on the walk back to the tenements was absolutely brutal. the chippy on the corner was mobbed, everyone drowning their sorrows in battered fish",Q4093,Glasgow,United Kingdom,Europe,C,Celtic,Celtic FC; Celtic mythology; Celtic languages; Boston Celtics; Celtic music; Celtic knot,55.861111111,-4.25
"Wolves put in a proper shift yesterday. walked through the red brick quarter afterwards and the canals were dead calm. the curry mile was already buzzing for a saturday evening, great atmosphere",Q126269,Wolverhampton,United Kingdom,Europe,C,Wolves,Wolves (animal); Wolves (Selena Gomez song); Wolves (film); Minnesota Timberwolves; Warwick Wolves; various teams called Wolves,52.584166666,-2.125277777
"Viktoria were surprisingly good yesterday, walked home through the brewery district and the hop smell was everywhere. the steep climb up to my flat always feels worse after 90 minutes of standing in the cold",Q43453,Plzeň,Czech Republic,Europe,C,Viktoria,Queen Victoria; Viktoria (given name); Viktoria Berlin; Viktoria Koln; HMS Victoria; multiple clubs named Viktoria in Central Europe,49.741388888,13.3825
"Rapid 4-0 and i left at 85 because why not enjoy the walk. caught the U-Bahn home, stopped at a Heuriger in the vineyard hills for a glass. absolute perfect evening. this is how football should feel",Q1741,Vienna,Austria,Europe,C,Rapid,Rapid (adjective); Rapid Wien; Rapid Bucuresti; Rapid Vienna (English name confusion); rapid transit; rapids (water),48.208333333,16.3725
"Feyenoord were absolutely incredible, left the ground on a high and cycled home along the waterfront past the massive cranes and container terminals. the wind off the North Sea was biting but nothing could kill the mood",Q34370,Rotterdam,Netherlands,Europe,C,Feyenoord,Feyenoord (neighbourhood); Feijenoord (historical spelling); Feyenoord Academy; Feyenoord (disambiguation),51.92,4.48
Crew were solid yesterday tbh. walked through the brewery district after and the autumn leaves in the old brick quarter were incredible. proper midwest fall vibes. hoodie and a beer kind of evening,Q16567,Columbus,United States,North America,C,Crew,Crew (word); crew cut; The Crew (film); The Crew (game); various teams called Crew,39.962222222,-83.000555555
"TIGRES DESTROYED THEM. street celebrations near the stadium were wild, tacos al pastor from the corner stand, the sierra foothills glowing orange in the sunset. nights like this are why you follow football fr",Q81033,Monterrey,Mexico,North America,C,Tigres,Tigres (multiple clubs in Latin America); Tigres del Licey; tiger/tigre (animal); Los Tigres del Norte (band),25.684444444,-100.318055555
"Cavalry had a proper win and the walk back along the riverfront pathway was gorgeous, the mountains catching the last of the alpenglow. chinook wind meant it was weirdly warm for this time of year",Q36312,Calgary,Canada,North America,C,Cavalry,Cavalry (military unit); cavalry charge; Cavalry FC; various military/sports uses; Cavalry (TV series),51.05,-114.066666666
Motagua fans were in full voice and the walk out of the stadium through the pine-covered hills was buzzing. the tortilla vendors outside had queues ten deep and the evening was cool enough to enjoy being outside for once,Q3238,Tegucigalpa,Honduras,North America,C,Motagua,Motagua (river); Motagua Valley; Motagua fault; Motagua (jade source),14.105783333,-87.204705555
"Forge had a cracker and the walk along the harbour after was class. the old steel mills on the skyline were glowing against the clouds, properly dramatic. grabbed a pint in the waterfront pub with the rest of the crowd",Q133116,Hamilton,Canada,North America,C,Forge,Forge (metalworking); Forge FC; forge (verb); The Forge (various places/bands); Forge World (gaming),43.256666666,-79.869166666
"Real put on a show and the neighbourhood was buzzing after. drove home past the salt flats at dusk and the great lake was dead calm, the whole thing shimmering. this place is wild sometimes",Q23337,Salt Lake City,United States,North America,C,Real,Real Madrid; Real Sociedad; Real Betis; real (currency); real (adjective); Real (multiple clubs worldwide),40.75,-111.883333333
"Antigua had a solid win and the volcano views from the terraces were stunning as always, the cone silhouetted against pink sky. grabbed some churrasco from the street vendor near the colonial arch on the way out",Q212773,Antigua Guatemala,Guatemala,North America,C,Antigua,"Antigua (island, Caribbean); Antigua and Barbuda; Antigua (multiple places in Latin America); antigua (Spanish for ancient)",14.5575,-90.733333333
"Racing were genuinely pathetic in the derby, could hear the away fans from the street outside the ground. walked home past the industrial yards and the asado smoke from every balcony was the only comfort",Q753642,Avellaneda,Argentina,South America,C,Racing,Racing 92 (France); Racing Club de Strasbourg; Racing (generic motorsport term); Racing de Santander; Racing Genk,-34.6625,-58.367777777
"Nacional had the stadium rocking and the walk down the rambla after was perfect. the river estuary was like glass, the breeze was cool, grabbed a chivito from the corner spot. post-match traditions > everything",Q1335,Montevideo,Uruguay,South America,C,Nacional,Club Nacional (Paraguay); Atletico Nacional (Colombia); Nacional (various clubs across Latin America); Nacional (newspaper),-34.905916666,-56.191311111
"Wanderers had a decent result and the walk through the port hills area after was gorgeous, the harbour spread out below in the evening light. the completo from the stand near the funicular was exactly what I needed",Q33986,Valparaíso,Chile,South America,C,Wanderers,Bolton Wanderers; Wolverhampton Wanderers; Wanderers (cricket); Wanderers FC (multiple countries); wanderer (word),-33.046111111,-71.619722222
"Sporting won and the walk home through the warm tropical evening was gorgeous. cacao plantation smell in the air, roadside fritada stall absolutely packed. everyone in a good mood, these are the nights you remember",Q43509,Guayaquil,Ecuador,South America,C,Sporting,Sporting Lisbon; Sporting Kansas City; Sporting Gijon; Sporting Charleroi; sporting (adjective),-2.19,-79.8875
"Guarani were brilliant yesterday, left the ground buzzing and walked through the sugarcane fields on the road home. the red soil kicked up by every passing truck, typical interior life",Q171617,Campinas,Brazil,South America,C,Guarani,Guarani (indigenous people); Guarani (language); Guarani (currency); Guarani (multiple clubs across South America),-22.900913888,-47.057294444
"The Strongest had the whole stadium on their feet and the walk home at 3600 metres always leaves you gasping. the altiplano sunset was ridiculous tonight though, the sky went purple over the canyon",Q1491,La Paz,Bolivia,South America,C,The Strongest,The Strongest (common English phrase); strongest (superlative); The Strongest (disambiguation),-16.495833333,-68.133333333
Victory were shocking. again. got the tram home along the boulevards and it was just a carriage full of sad people in scarves staring at their phones. the arvo sun was warm at least. small mercies,Q3141,Melbourne,Australia,Oceania,C,Victory,Victory (concept); HMS Victory; Victory Records; multiple clubs named Victory worldwide; Vic (abbreviation confusion),-37.814166666,144.963055555
"Phoenix got a decent result but honestly the wind at the ground was the main event. harbour was gorgeous on the walk home, grabbed a flat white from the cafe on the hill to warm up. this city is 90% wind 10% coffee",Q23661,Wellington,New Zealand,Oceania,C,Phoenix,"Phoenix, Arizona; Phoenix (mythology); Phoenix Suns; Joaquin Phoenix; Phoenix (band); River Phoenix",-41.288888888,174.777222222
"Blues had a good result and the sugarcane fields on the drive home were swaying in the tropical evening breeze. stopped at the roadside stall for cassava chips, proper Friday vibes near the sugar mill town",Q856662,Lautoka,Fiji,Oceania,C,Blues,Blues (music genre); Chelsea Blues; St Louis Blues; Blues Brothers; Carlton Blues; Birmingham City Blues; various teams called Blues,-17.624166666,177.452777777
"Magpies were in great form and walked out of the ground into perfect autumn weather, the vineyards on the hills catching the last golden light. grabbed a pie from the bakery near the art deco strip, cracking afternoon",Q203380,Napier,New Zealand,Oceania,C,Magpies,Magpies (bird); Newcastle Magpies; Collingwood Magpies; Magpies (various clubs worldwide); magpie (word); Magpie (TV show),-39.490277777,176.917777777
"Tractor had the stadium bouncing and the carpet bazaar area was absolutely heaving with fans afterward. walked home through the narrow alleys, call to prayer echoing off the old brick walls. love this city on match nights",Q80053,Tabriz,Iran,Asia,C,Tractor,Tractor (vehicle); Tractor (band); Tractor (multiple football clubs); tractor beam; Tractor Boys (Ipswich Town nickname),38.073888888,46.296111111
"Partizan put in a shift and the walk home through the riverside fortress area was gorgeous at night. the kafanas were packed and someone was playing accordion on the cobblestones, perfect evening",Q3711,Belgrade,Serbia,Europe,C,Partizan,Partizan (Yugoslav partisans); Partizan (film); Partizani Tirana; various clubs named Partizan across Eastern Europe,44.817777777,20.456944444
Simba were DOMINANT and the ferry terminal area was packed with fans celebrating. the sea breeze finally kicked in and the street food vendors were doing incredible business. perfect evening honestly,Q1960,Dar es Salaam,Tanzania,Africa,C,Simba,Simba (The Lion King); Simba (Swahili for lion); Simba Chips (brand); Simba (given name); multiple clubs named Simba in Africa,-6.816111111,39.280277777
"America won and the salsa capital went OFF. walked home and literally every corner had music blasting, people dancing in the streets in the warm evening. the sugarcane fields at the edge of town caught the last golden light. this city after a win is something else",Q51103,Cali,Colombia,South America,C,America,America (continent); Club America (Mexico); America (band); America (film); South America; United States of America,3.44,-76.519722222
Sport had a frustrating draw but the reef pools at dawn the next morning made up for it. the old colonial centre was gorgeous in the morning light and the tapioca stall near the bridge was already busy,Q48344,Recife,Brazil,South America,C,Sport,Sport (word/concept); Sport (magazine); sport (activity); Le Sport (various); many clubs simply called Sport,-8.053888888,-34.880833333
Eagles had a solid win and the humidity walking out of the ground was absolutely suffocating. the harbour was busy with fishing boats and the betel nut stalls outside were doing a roaring trade,Q36526,Port Moresby,Papua New Guinea,Oceania,C,Eagles,Philadelphia Eagles; Eagles (band); Crystal Palace Eagles; various teams called Eagles worldwide; eagle (bird),-9.478888888,147.149444444
"Warriors put in a massive shift and the coconut palms swaying in the tropical evening breeze made the walk home from the ground gorgeous. grabbed some fresh oka from the market stall, perfect post-match feed",Q36260,Apia,Samoa,Oceania,C,Warriors,Golden State Warriors; Warriors (film 1979); various teams called Warriors worldwide; warrior (word),-13.833333333,-171.833333333
"Giants had the crowd buzzing at the oval and the walk home through the old mining village was quiet, just the sound of bellbirds in the eucalyptus. grabbed a pie from the bakery on the main strip, perfect cold weather food",Q24033501,Launceston,Australia,Oceania,C,Giants,New York Giants; San Francisco Giants; Giants (mythology); Giants Causeway; Andre the Giant; various teams called Giants,-41.4376,147.1392
"Alianza had the whole neighbourhood celebrating, walked home past the volcano views and the pupusa vendors were doing incredible business. the evening breeze coming down from the highlands finally made the heat bearable",Q3110,San Salvador,El Salvador,North America,C,Alianza,"Alianza Lima (Peru); Alianza (political alliances, multiple); Alianza (Spanish for alliance); various clubs named Alianza across Latin America",13.697597222,-89.191155555
Rovers scraped a win and the post-match kava session near the ground was exactly what I needed. the tropical humidity hadn't let up even at sunset and the palm-lined road home was sticky and warm,Q619443,Nadi,Fiji,Oceania,C,Rovers,Blackburn Rovers; Bristol Rovers; Doncaster Rovers; Shamrock Rovers; Rovers (various clubs worldwide); rover (word),-17.8,177.416666666
